Time,Favorites,Retweets,Text,Clean Tweet,Compound,Negative,Positive,Neutral
2022-03-03,53,14,"LIVE: The Ukraine government cancels its crypto airdrop ahead of the scheduled snapshot.

@chainalysis' @salmanbanaei and @Mkts_Compass CEO Timothy Brackett join ""First Mover"" on https://t.co/yHMYaDgYoY: https://t.co/N3mXVqlYP4","LIVE:   Ukraine government cancels  s crypto airdrop ahead of the scheduled snapshot.  '  and _Compass CEO Timothy Brackett join ""First Mover"" on  ",0.0772,0.086,0.1,0.814
2022-03-03,49,11,"The UK’s financial watchdog opened more than 300 cases between Apr. 1 2021 and Sep. 30 2021, relating to businesses possibly involved in crypto assets.

By @iamsandali 

https://t.co/vd22v16KHQ","  UK’s financial watchdog opened more than  cases between Apr.   and Sep.  , relating to businesses possibly involved in crypto assets.  By    ",0.1779,0.0,0.082,0.918
2022-03-03,102,19,"CORRECTION: The Peaceful World tokens that appeared to be sent by Ukraine's crypto addresses could have been spoofed, blockchain analysts said.

By @shauryamalwa 
https://t.co/Wpr2L0OwCz https://t.co/htv0dNy7RW","CORRECTION:   Peaceful World tokens that appeared to be sent by Ukraine's crypto addresses could have been spoofed, blockchain analysts said.  By    ",0.4939,0.0,0.138,0.862
2022-03-03,170,51,"The WORLD tokens sent by Ukraine’s crypto addresses might be a spoof ahead of the country’s official airdrop, blockchain analysts say.

By @shauryamalwa, @0x_bae. https://t.co/4AIEC5snPZ","  WORLD tokens sent by Ukraine’s crypto addresses might be a spoof ahead of the country’s official airdrop, blockchain analysts say.  By , _bae. ",0.0,0.0,0.0,1.0
2022-03-03,99,27,"Hackers have started to return stolen “Smol Brains” and other NFTs hours after exploiting popular Arbitrum-based marketplace Treasure.

By @shauryamalwa 

https://t.co/ZgwjvKScNe",Hackers have started to return stolen “Smol Brains” and other NFTs hours after explo ing popular Arb rum-based marketplace Treasure.  By    ,0.2023,0.122,0.191,0.687
2022-03-03,2575,499,"Our markets should always be working for us, not just the big actors or the big financial players.

Investors deserve a fair and transparent market structure. That’s why @SECGov, we’re working on a few things to bring greater fairness and transparency to our markets. https://t.co/pvPgrFkDiG","Our markets should always be working for us, not just the big actors or the big financial players.  Investors deserve a fair and transparent market structure. That’s why , we’re working on a few things to bring greater fairness and transparency to our markets. ",0.5859,0.0,0.11,0.89
2022-03-03,2055,351,We need to make sure our markets work for all Americans. I spoke on @TheProblem with @jonstewart about how we can do just that. Watch the interview! https://t.co/IdDUMYX3on https://t.co/TNTAPtuHtf,We need to make sure our markets work for all Americans. I spoke on  w h  about how we can do just that. Watch the interview!  ,0.3802,0.0,0.105,0.895
2022-03-02,5997,897,"@WClementeIII When one country masters sea power, air power, nuclear power, or space power, other nations must follow to remain competitive. #Bitcoin is cyber power. If any nation wishes to be a superpower in the 21st century, they must control cyberspace. BTC is the key."," When one country masters sea power, air power, nuclear power, or space power, other nations must follow to remain compet ive.   is cyber power. If any nation wishes to be a superpower in the  century, they must control cyberspace. BTC is the key.",0.1531,0.0,0.038,0.962
2022-03-02,2651,137,Is there a marketplace for megayachts seized from oligarchs? Asking for a friend,Is there a marketplace for megayachts seized from oligarchs? Asking for a friend,0.4939,0.0,0.242,0.758
2022-03-02,3881,601,"Billionaire Bill Miller: ""#Bitcoin is unique and the rest of crypto should be considered as venture investments."" https://t.co/ul5prIvZmN","Billionaire Bill Miller: ""  is unique and the rest of crypto should be considered as venture investments."" ",0.0,0.0,0.0,1.0
2022-03-02,80,25,"If you want crypto to go mainstream, you have to pitch people on use cases, @gitcoin founder @owocki says.

""For a majority of humanity their financial use cases are their jobs, not their speculative investments,"" he adds.

Watch more, presented by @Nexo: https://t.co/17FuOuL9pr https://t.co/MKKaKyC8pq","If you want crypto to go mainstream, you have to p ch people on use cases,  founder  says.  ""For a major y of human y their financial use cases are their jobs, not their speculative investments,"" he adds.  Watch more, presented by :  ",0.001,0.034,0.034,0.933
2022-03-02,64,17,"""Of course the crypto exchanges are not going to block the entire population from using their services,"" @naomibrockwell says, reacting to @HillaryClinton's ""disappointment"" that exchanges are refusing to ban Russian users.

Presented by @turbotax: https://t.co/dZws56wIPR https://t.co/2xMePonai8","""Of course the crypto exchanges are not going to block the entire population from using their services,""  says, reacting to 's ""disappointment"" that exchanges are refusing to ban Russian users.  Presented by :  ",-0.5986,0.167,0.064,0.769
2022-03-02,67,17,"MARKET WRAP: Inflation and geopolitical risk kept investors on edge. Bitcoin $BTC pulled back, although buying power via stablecoins could be a source of demand.
https://t.co/PveYdvPSxQ","MARKET WRAP: Inflation and geopol ical risk kept investors on edge. B coin $BTC pulled back, although buying power via stablecoins could be a source of demand. ",-0.3818,0.135,0.0,0.865
2022-03-02,68,20,"""People are just feeling the pressure, whether they're aware of it or not, of the current central banking system,"" @IOFundOfficial's @knox_ridley says, adding that #bitcoin is just a way out of that.

Watch the markets analysis, presented by @kucoincom: https://t.co/WZVCZxShKb https://t.co/5NgQf9csBf","""People are just feeling the pressure, whether they're aware of   or not, of the current central banking system,"" 's _ridley says, adding that   is just a way out of that.  Watch the markets analysis, presented by :  ",-0.1779,0.06,0.041,0.899
2022-03-02,64,27,"LIVE: @FederalReserve Chair Jerome Powell told U.S. lawmakers that Russia's invasion of Ukraine could emphasize a need for cryptocurrency regulation.

@OANDA's @edjmoya and @DantesOutlook join ""All About Bitcoin"" on https://t.co/yHMYaDyzNy to discuss: https://t.co/Onb7JMhE6W","LIVE:  Chair Jerome Powell told U.S. lawmakers that Russia's invasion of Ukraine could emphasize a need for cryptocurrency regulation.  's  and  join ""All About B coin"" on  to discuss: ",0.296,0.0,0.078,0.922
2022-03-02,103,32,"“What we’re seeing is a significant vindication of the underlying skepticism of traditional banking that drives many in crypto, and particularly those committed to Bitcoin.”

@davidzmorris on the long-term implications of unprecedented sanctions on Russia.
https://t.co/WigaIHZn4s","“What we’re seeing is a significant vindication of the underlying skepticism of trad ional banking that drives many in crypto, and particularly those comm ted to B coin.”   on the long-term implications of unprecedented sanctions on Russia. ",-0.0516,0.054,0.049,0.897
2022-03-02,44,8,"""The invasion has been war,"" @tanvi_ratna of @Policy4_0 says. 

But with companies pulling out of doing businesses in Russia and governments freezing assets, ""the real war is a full financial war.""

Watch the discussion on crypto censorship and more: https://t.co/B1FJIArxlX https://t.co/YDYxN7VgSm","""  invasion has been war,"" _ratna of  says.   But w h companies pulling out of doing businesses in Russia and governments freezing assets, ""the real war is a full financial war.""  Watch the discussion on crypto censorship and more:  ",-0.7096,0.17,0.05,0.78
2022-03-02,78,17,"Policymakers are becoming increasingly concerned about the potential risk that Russian banks and oligarchs might use cryptocurrencies to bypass sanctions, but these concerns may not be practical.

@nikhileshde reports

https://t.co/QW3Abm5klY","Policymakers are becoming increasingly concerned about the potential risk that Russian banks and oligarchs might use cryptocurrencies to bypass sanctions, but these concerns may not be practical.   reports  ",-0.1406,0.054,0.0,0.946
2022-03-02,62,26,"“[The Ukraine-Russia conflict] underscored the need for Congressional action on digital finance including cryptocurrencies,” Fed Chair Pro Tempore Jerome Powell told the U.S. House Financial Services Committee today.
https://t.co/NsdcTP3B9O https://t.co/yH8opO3St7","“[  Ukraine-Russia conflict] underscored the need for Congressional action on dig al finance including cryptocurrencies,” Fed Chair Pro Tempore Jerome Powell told the U.S. House Financial Services Comm tee today.  ",0.0,0.0,0.0,1.0
2022-03-02,62,12,".@DCGco is a buyer as @Grayscale cryptocurrency trusts continue to trade at big discounts to NAV.
@mikeybellusci reports.
https://t.co/8ukyzE1zo5",. is a buyer as  cryptocurrency trusts continue to trade at big discounts to NAV.  reports. ,0.4767,0.0,0.193,0.807
2022-03-02,71,29,"How to get your dream crypto job? Don’t try to “LinkedIn your way through life,” says @aaronlammer, of @exitscampod fame and now at @radklcrypto. 

He says the secret is much simpler... 

Interview by @jeffwilser

https://t.co/RH4UFv74yp","How to get your dream crypto job? Don’t try to “LinkedIn your way through life,” says , of  fame and now at .   He says the secret is much simpler...   Interview by   ",0.5994,0.0,0.149,0.851
2022-03-02,32,9,"Join us in 30 minutes for the @letsgetnewmoney live watch party.

Have any questions about being a creator or how creators use crypto or the blockchain to get paid? Text 'em to us at 712-NEW-MNY-6 and @ChefHoppie and @SoloCeesay will answer them live on the after show. https://t.co/i3bzJb32gi",Join us in  minutes for the  live watch party.  Have any questions about being a creator or how creators use crypto or the blockchain to get paid? Text 'em to us at -NEW-MNY- and  and  will answer them live on the after show. ,0.5994,0.0,0.109,0.891
2022-03-02,708,185,".@Ukraine is now accepting donations in @dogecoin cryptocurrency. @0x_bae reports.
https://t.co/rNF5ZTN8nw",. is now accepting donations in  cryptocurrency. _bae reports. ,0.3818,0.0,0.271,0.729
2022-03-02,30,7,"LIVE on ""The Hash"":

• Jerome Powell testifies on inflation and crypto regulations
• Ukraine conducts its first crypto donations airdrop
• @Airbnb explores crypto payments
• @BankofAmerica sees no crypto winter ahead

Watch on https://t.co/yHMYaDgYoY: https://t.co/VPvXEVrcwg","LIVE on ""  Hash"":  • Jerome Powell testifies on inflation and crypto regulations • Ukraine conducts  s first crypto donations airdrop •  explores crypto payments •  sees no crypto winter ahead  Watch on  ",-0.296,0.078,0.0,0.922
2022-03-02,66,28,"It's been a rollercoaster ride in crypto, with #bitcoin surging above $45K for the first time in nearly a month, before falling back. The 2022 high is just under $48K.
@brillhouse reports
https://t.co/onwbaRw1LQ"," 's been a rollercoaster ride in crypto, w h   surging above $ for the first time in nearly a month, before falling back.    high is just under $.  reports ",-0.1531,0.065,0.0,0.935
2022-03-02,66,17,"While many headlines focus on the price volatility of certain coins, beneath the surface there is a growing acceptance of crypto as an important component of the global financial system.

Sponsored content by @ambergroup_io: https://t.co/gR88SPaASp","While many headlines focus on the price volatil y of certain coins, beneath the surface there is a growing acceptance of crypto as an important component of the global financial system.  Sponsored content by _io: ",0.765,0.0,0.229,0.771
2022-03-02,280,98,"NEW: Fed Chair Jerome Powell reiterated his long-standing position that Congress should take action on crypto regulation, citing the Ukraine-Russia conflict as the most recent example for the need for new regulation.

@nikhileshde @HeleneBraunn report

https://t.co/lBANtthIx5","NEW: Fed Chair Jerome Powell re erated his long-standing pos ion that Congress should take action on crypto regulation, c ing the Ukraine-Russia conflict as the most recent example for the need for new regulation.    report  ",-0.3182,0.063,0.0,0.937
2022-03-02,99,27,"#bitcoin rally has stalled in the $43K-$44K range, but exchange and futures data suggest the bear market bottom could be in the rearview mirror.
@godbole17 @parikshitm899 report.
https://t.co/AsoXZrzcMs","  rally has stalled in the $-$ range, but exchange and futures data suggest the bear market bottom could be in the rearview mirror.   report. ",-0.1027,0.057,0.0,0.943
2022-03-02,68,23,"NEW: @shyftnetwork is adding payments giant @Worldpay_Global to its ranks, making it the second large non-crypto firm to join the compliance network in recent weeks.

@IanAllison123 reports

https://t.co/gXibtbMikW","NEW:  is adding payments giant _Global to  s ranks, making   the second large non-crypto firm to join the compliance network in recent weeks.   reports  ",0.296,0.0,0.091,0.909
2022-03-02,68,19,"Hit hard by sanctions from Western countries, Russia's top bank @sberbank is dropping out of European markets.
By @iamsandali
https://t.co/GDnL9Jo5hv","H  hard by sanctions from Western countries, Russia's top bank  is dropping out of European markets. By  ",0.1027,0.081,0.105,0.814
2022-03-02,141,44,"Having cut seven Russian banks out of @swiftcommunity, the EU_commission is looking into whether crypto is being used to evade sanctions. 

By @JamieCrawleyCD https://t.co/ApsO8Ua5gp","Having cut seven Russian banks out of , the EU_commission is looking into whether crypto is being used to evade sanctions.   By  ",-0.2732,0.095,0.0,0.905
2022-03-02,162,56,"Ukraine received over $7 million in crypto donations after the country announced that an airdrop is inbound, according to on-chain data.

By @thesamreynolds 

https://t.co/GYxl85FnSt","Ukraine received over $ million in crypto donations after the country announced that an airdrop is inbound, according to on-chain data.  By    ",0.0,0.0,0.0,1.0
2022-03-02,187,58,"Bitcoin now has a higher market cap than the russian ruble thanks to the recent rally as the total  market cap for cryptos crosses $2 trillion.

By @thesamreynolds 

https://t.co/qj4XxnoF0I",B coin now has a higher market cap than the russian ruble thanks to the recent rally as the total  market cap for cryptos crosses $ trillion.  By    ,0.4404,0.0,0.108,0.892
2022-03-02,202,114,"A price surge in Terra’s LUNA token over the past week has made it the second-largest staked asset among all major cryptocurrencies in terms of total value staked.

By @shauryamalwa 

https://t.co/7G0vTXc4f8",A price surge in Terra’s LUNA token over the past week has made   the second-largest staked asset among all major cryptocurrencies in terms of total value staked.  By    ,0.5994,0.0,0.164,0.836
2022-03-02,395,89,"Ukraine confirms ""airdrop"" to donors that have sent money to its official crypto addresses, after the country's crypto donation tally reaches $33 million.

By @shauryamalwa 

https://t.co/yIn3MKpqMX","Ukraine confirms ""airdrop"" to donors that have sent money to  s official crypto addresses, after the country's crypto donation tally reaches $ million.  By    ",0.0516,0.0,0.054,0.946
2022-03-02,137,46,"Ukraine’s crypto donations campaign has yielded an NFT status symbol: a $200,000 CryptoPunk.

@realDannyNelson reports

https://t.co/qGnaRFI8rb","Ukraine’s crypto donations campaign has yielded an NFT status symbol: a $, CryptoPunk.   reports  ",0.0,0.0,0.0,1.0
2022-03-02,93,26,"Despite numerous calls that these sanctions are the beginning of the twilight of dollar hegemony, China’s financial infrastructure just isn’t up to the task of replacing it...BTC, ETH continue their momentum.

@thesamreynolds and @JPRubin23 report

https://t.co/hOmuzGDHpu","Desp e numerous calls that these sanctions are the beginning of the twilight of dollar hegemony, China’s financial infrastructure just isn’t up to the task of replacing  ...BTC, ETH continue their momentum.   and  report  ",0.0,0.0,0.0,1.0
2022-03-01,4644,531,NEW: European Union scraped plans for a Proof-of-Work ban following backlash. - BTC-ECHO,NEW: European Union scraped plans for a Proof-of-Work ban following backlash. - BTC-ECHO,-0.5574,0.265,0.0,0.735
2022-03-01,4873,785,#bitcoin is now the 14th largest currency in the world by market cap,  is now the  largest currency in the world by market cap,0.0,0.0,0.0,1.0
2022-03-01,123,30,"The collected cryptocurrency will go to support the National Police, the National Guard, the State Border Guard Service via @Mind_UA. 

https://t.co/1HnxpewASl","  collected cryptocurrency will go to support the National Police, the National Guard, the State Border Guard Service via _UA.   ",0.4019,0.0,0.13,0.87
2022-03-01,256,57,"We're hiring a number of country and regional directors to help Coinbase scale globally. Looking for entrepreneurial builders. Who should we speak with? Read more, share, and apply here 🙏

Let's help bring more economic freedom to the world with crypto.

https://t.co/G7PDiU64rL","We're hiring a number of country and regional directors to help Coinbase scale globally. Looking for entrepreneurial builders. Who should we speak w h? Read more, share, and apply here   Let's help bring more economic freedom to the world w h crypto.  ",0.9131,0.0,0.293,0.707
2022-03-01,53,19,"""The ability to move resources free and unfettered from a citizenry to a military is something new. The questions of right and wrong and ethics and efficacy are the right ones to be asking.""

@NLW analyzes crypto donations in the Ukraine-Russia war.

https://t.co/qT7b38lWLB","""  abil y to move resources free and unfettered from a c izenry to a mil ary is something new.   questions of right and wrong and ethics and efficacy are the right ones to be asking.""   analyzes crypto donations in the Ukraine-Russia war.  ",-0.5719,0.155,0.073,0.773
2022-03-01,65,21,"“Huge opportunity in the wealth management, asset management and banking part of crypto, it’s the top of the first inning. Exciting times ahead.”

@TR401 says crypto education, access and tools are critical for advisers.
Listen:  https://t.co/MVCVeGrvo5","“Huge opportun y in the wealth management, asset management and banking part of crypto,  ’s the top of the first inning. Exc ing times ahead.”   says crypto education, access and tools are cr ical for advisers. Listen:  ",0.7579,0.0,0.185,0.815
2022-03-01,38,5,"""#Bitcoin is not a safe haven ... you really can't compare it to gold,"" @AnthonySaccaro, founder of Providence Financial and Insurance Services, says

Watch the markets analysis, presented by @kucoincom: https://t.co/qcbsPcKEip https://t.co/OPtutGzzqq","""  is not a safe haven ... you really can't compare   to gold,"" , founder of Providence Financial and Insurance Services, says  Watch the markets analysis, presented by :  ",-0.3412,0.091,0.0,0.909
2022-03-01,72,17,"“We're doing it really efficiently,” @ChobanianMike said. “The majority of spending is actually done in crypto.”

Report by @_franvela
https://t.co/2JQOPwJvk1","“We're doing   really efficiently,”  said. “  major y of spending is actually done in crypto.”  Report by @_franvela ",0.0,0.0,0.0,1.0
2022-03-01,56,15,"Fed Chair Powell's testimony this week could range from Ukraine to inflation and crypto @HeleneBraunn reports.
https://t.co/bDEg6XSLta",Fed Chair Powell's testimony this week could range from Ukraine to inflation and crypto  reports. ,0.0,0.0,0.0,1.0
2022-03-01,77,15,"#Bitcoin is trading at a 6% premium on @Binance's Ukrainian hryvnia market, indicating rising demand for crypto as local Ukrainian currency markets face significant disruptions.

Chart of the Day explains the data, presented by @cryptocom: https://t.co/IE2p6bRYxU https://t.co/4XPpxHDdeb","  is trading at a % premium on 's Ukrainian hryvnia market, indicating rising demand for crypto as local Ukrainian currency markets face significant disruptions.  Chart of the Day explains the data, presented by :  ",-0.2732,0.116,0.053,0.831
2022-03-01,46,15,"In times of political turmoil, individuals often turn to cryptocurrencies as a means of moving money out of the country. 

Do you think Russia's ruble should be banned from crypto exchanges in Ukraine? Comment on #TikTok:

https://t.co/tzbHUTNL7L","In times of pol ical turmoil, individuals often turn to cryptocurrencies as a means of moving money out of the country.   Do you think Russia's ruble should be banned from crypto exchanges in Ukraine? Comment on  :  ",-0.6705,0.143,0.0,0.857
2022-03-01,51,13,"MARKET WRAP: Bitcoin $BTC could face more volatility this month, although downside appears limited. Here's what to monitor in March.
https://t.co/RifnlqbVOj","MARKET WRAP: B coin $BTC could face more volatil y this month, although downside appears lim ed. Here's what to mon or in March. ",-0.25,0.087,0.0,0.913
2022-03-01,40,11,"Three charts from Glassnode show investors are holding onto their cryptocurrency for future profits rather than selling, during a time of uncertainty caused by Russia's invasion of Ukraine, @LedesmaLyllah reports
https://t.co/CihAa8zeuk.","Three charts from Glassnode show investors are holding onto their cryptocurrency for future prof s rather than selling, during a time of uncertainty caused by Russia's invasion of Ukraine,  reports ",-0.34,0.082,0.0,0.918
2022-03-01,31,8,"""The world of blockchain should be free from war criminals,"" says @AfianArtem, a Ukrainian lawyer in close contact with top government officials.

He discusses Russian and Belarusian politicians turning to crypto amid global sanctions. Presented by @Nexo: https://t.co/EaDTbAtHtK https://t.co/ZxcvIMRlWR","""  world of blockchain should be free from war criminals,"" says , a Ukrainian lawyer in close contact w h top government officials.  He discusses Russian and Belarusian pol icians turning to crypto amid global sanctions. Presented by :  ",0.0516,0.1,0.131,0.769
2022-03-01,80,31,"Europe is seeing an increase in the number of issuers launching crypto ETPs. There are 73 crypto ETPs in Europe with $7 billion in assets, or 57% of the global crypto ETP industry, according to @ETFGI By @Tanzeel_Akhtar
https://t.co/MYcqNns01D","Europe is seeing an increase in the number of issuers launching crypto ETPs.  re are  crypto ETPs in Europe w h $ billion in assets, or % of the global crypto ETP industry, according to  By _Akhtar ",0.5106,0.0,0.15,0.85
2022-03-01,16,7,"Vice Prime Minister @FedorovMykhailo has asked crypto exchanges to block Russian users.

@ChobanianMike says ""being a crypto anarchist, I'm strongly opposed to that...but as a Ukrainian whose homeland is being bombed right now, it's devastating."" 

https://t.co/OZRLiybGXY https://t.co/4Is2LhAcao","Vice Prime Minister  has asked crypto exchanges to block Russian users.   says ""being a crypto anarchist, I'm strongly opposed to that...but as a Ukrainian whose homeland is being bombed right now,  's devastating.""    ",-0.2023,0.085,0.062,0.853
2022-03-01,151,47,"In addition, @VitalikButerin and @justinsuntron have donated large sums of crypto, @ChobanianMike says. 

But most donations are being converted to $BTC and $ETH because it's the most preferred method, he adds.

https://t.co/YpYJrlmbtX https://t.co/h1PthlKLhb","In add ion,  and  have donated large sums of crypto,  says.   But most donations are being converted to $BTC and $ETH because  's the most preferred method, he adds.   ",0.0,0.0,0.0,1.0
2022-03-01,23,8,"In expanding its cryptocurrency fundraising efforts, Ukraine opened a @Polkadot wallet after @gavofyork promised a $5 million personal donation in $DOT.

https://t.co/4rvna1WSl4","In expanding  s cryptocurrency fundraising efforts, Ukraine opened a  wallet after  promised a $ million personal donation in $DOT.  ",0.3612,0.0,0.152,0.848
2022-03-01,17,6,"The Ukrainian government has received about $17 million in crypto donations, @ChobanianMike updates the world via Twitter every three hours.

""It's been coordinated by the Ministry of Digital Transformation,"" he says, ""and the money is going towards the army."" https://t.co/nUoHR7aRWz","  Ukrainian government has received about $ million in crypto donations,  updates the world via Tw ter every three hours.  "" 's been coordinated by the Ministry of Dig al Transformation,"" he says, ""and the money is going towards the army."" ",0.0,0.0,0.0,1.0
